insertion_3 lns without initial solution 
run 1 / 10 with seed = -1904485001:  	Time: 900.003 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 2 / 10 with seed = -1737648955:  	Time: 900.002 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 3 / 10 with seed =  -810588197:  	Time: 900.006 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 4 / 10 with seed = -1755204120:  	Time: 900.005 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 5 / 10 with seed =  -297573884:  	Time: 900.003 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 6 / 10 with seed = -1004154478:  	Time: 900.087 / 900.000 [s] 	Best objective: 732.570 	#Solutions found: 134 	Unique solutions found: 134
	t = 702.707 [s] 	 obj = 813.283
	t = 722.293 [s] 	 obj = 812.297
	t = 722.394 [s] 	 obj = 810.389
	t = 723.042 [s] 	 obj = 809.999
	t = 723.871 [s] 	 obj = 809.442
	t = 726.466 [s] 	 obj = 809.010
	t = 727.651 [s] 	 obj = 808.752
	t = 730.424 [s] 	 obj = 807.508
	t = 732.706 [s] 	 obj = 807.478
	t = 733.873 [s] 	 obj = 807.001
	t = 735.844 [s] 	 obj = 806.882
	t = 736.268 [s] 	 obj = 806.017
	t = 741.619 [s] 	 obj = 805.912
	t = 741.944 [s] 	 obj = 805.709
	t = 748.540 [s] 	 obj = 804.771
	t = 749.285 [s] 	 obj = 804.692
	t = 756.517 [s] 	 obj = 803.044
	t = 757.281 [s] 	 obj = 801.506
	t = 758.062 [s] 	 obj = 801.218
	t = 758.490 [s] 	 obj = 798.484
	t = 758.701 [s] 	 obj = 797.433
	t = 758.824 [s] 	 obj = 795.012
	t = 759.723 [s] 	 obj = 793.592
	t = 760.490 [s] 	 obj = 793.157
run 8 / 10 with seed =  1910302827:  	Time: 900.001 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 9 / 10 with seed = -1424598816:  	Time: 900.002 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 10 / 10 with seed =  -394520094:  	Time: 900.041 / 900.000 [s] 	Best objective: 762.985 	#Solutions found: 140 	Unique solutions found: 140
	t = 300.929 [s] 	 obj = 1053.029
	t = 300.991 [s] 	 obj = 1052.254
	t = 301.111 [s] 	 obj = 1050.655
	t = 301.164 [s] 	 obj = 1050.602
	t = 301.218 [s] 	 obj = 1048.732
	t = 301.383 [s] 	 obj = 1046.006
	t = 301.725 [s] 	 obj = 1033.733
	t = 301.778 [s] 	 obj = 1031.510
	t = 301.887 [s] 	 obj = 1026.367
	t = 301.952 [s] 	 obj = 1025.959
	t = 302.171 [s] 	 obj = 1023.151
	t = 302.227 [s] 	 obj = 1023.101
	t = 302.336 [s] 	 obj = 1022.785
	t = 302.455 [s] 	 obj = 1014.663
	t = 302.565 [s] 	 obj = 1005.347
	t = 302.782 [s] 	 obj = 999.655
	t = 303.010 [s] 	 obj = 998.134
	t = 303.064 [s] 	 obj = 997.737
	t = 303.171 [s] 	 obj = 996.065
